Job: acopf_ISS
Executing: ACOPF_pinn_baseline.py --case_name pglib_opf_case57_ieee --epochs 10000
Node: issnode1
GPU Allocated: 0
CUDA Hardware Acceleration Active: NVIDIA GeForce RTX 4090
Problem Geometry Linked -> Matrix Samples: 10000

Beginning execution of parallelized training matrix loops...
Epoch    0 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch   10 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch   20 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch   30 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch   40 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch   50 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch   60 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch   70 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch   80 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch   90 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  100 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  110 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  120 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  130 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  140 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  150 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  160 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  170 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  180 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  190 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  200 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  210 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  220 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  230 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  240 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  250 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  260 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  270 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  280 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  290 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  300 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
Epoch  310 | Val Loss: nan | Val Cost:     nan | Val Max P-Miss: nan | Max Q-Miss: nan | Val Max Gen Viol: nan | Val Max Thermal: nan
